Company Name,cluster,percent,keyword
Confluence Vietnam (HCMC),0,50.0,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Confluence Vietnam (HCMC),1,50.0,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Creative Force,0,50.51,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Creative Force,3,17.17,"môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn, văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa"
Công Ty Cổ Phần Tập Đoàn Meey Land,3,66.67,"môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn, văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa"
Công Ty Cổ Phần Tập Đoàn Meey Land,5,33.33,"môi_trường_chuyên_nghiệp, lương_chậm, lương_tốt, văn_phòng_hiện_đại, văn_phòng_thoải_mái, bãi_rộng_rãi, phúc_lợi_ổn, campus_đẹp, nhân_viên_trẻ, dự_án_cũ, văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa"
DNSE,0,54.55,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
DNSE,3,18.18,"môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn, văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa"
DatVietVAC,0,44.44,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
DatVietVAC,4,22.22,"môi_trường_năng_động, giấc_thoải_mái, công_tốt, vật_chất_tốt, đồng_nghiệp_giỏi, văn_phòng_xịn, lương_hợp_lý, lương_tạm, benefit_tốt, năng_động_chuyên_nghiệp, văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa"
Datalogic Việt Nam,0,45.45,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
